id,box_orig,box_n,doc,# language,,,doc_filename,fecha_orig,"description_excel_divided
",_material,year,keywords,_height,_width,_time,_description,xidold,nombre_nuevo,rvtipo_esp,,content category,filename_orig_,description_filename_orig,th_filename,,tkb_subido,tkb_textto_regiones,tkb_etiquetas_tags,,kg_en_proceso,kg_relaciones,kg_entidades
13,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_04.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_th.png,,v,,,,,,
14,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_05.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_th.png,,v,,,,,,
15,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,hand-drawn_diagram,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_high.jpg,diagrama_manuscrito,hd,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_06.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_th.png,,v,,,,,,
16,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_07.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_th.png,,v,,,,,,
17,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,hand-drawn_diagram,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_high.jpg,diagrama_manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_08.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_th.png,,v,,,,,,
18,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_09.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_th.png,,v,,,,,,
19,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_10_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_10_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_10.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_10_th.png,,v,,,,,,
20,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_11_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_11_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_11.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_11_th.png,,v,,,,,,
21,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_12_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_12_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_12.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_12_th.png,,v,,,,,,
22,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_13_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_13_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_13.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_13_th.png,,v,,,,,,
23,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_14_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_14_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_14.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_14_th.png,,v,,,,,,
24,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_15_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_15_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_15.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_15_th.png,,v,,,,,,
25,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_16_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_16_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_16.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_16_th.png,,v,,,,,,
26,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_17_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_17_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_17.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_17_th.png,,v,,,,,,
27,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_18_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_18_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_18.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_18_th.png,,v,,,,,,
28,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_19_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_19_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_19.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_19_th.png,,v,,,,,,
29,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_20_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_20_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_20.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_20_th.png,,v,,,,,,
